split,budget,policy,ap30_mean,ap30_std,ap50_mean,ap50_std,ap70_mean,ap70_std,n_realisations,snr_db,channel,rho_E,rho_L,rho_F,bler_F
culver,0.3,SNR-threshold,0.879,0.0,0.872,0.0,0.7768,0.0,200,10.0,awgn,0.0,0.0,1.0,0.0
culver,0.1,CA-TOSG-RF,0.7956,0.0,0.7835,0.0,0.6986,0.0,200,12.0,awgn,0.0,0.9854545454545455,0.014545454545454545,0.0
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,12.0,awgn,0.0,1.0,0.0,0.0
culver,0.2,CA-TOSG-RF,0.8025,0.0,0.7903,0.0,0.7019,0.0,200,12.0,awgn,0.0,0.9309090909090909,0.06909090909090909,0.0
culver,0.2,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,12.0,awgn,0.0,1.0,0.0,0.0
culver,0.3,CA-TOSG-RF,0.8547,0.0,0.8443,0.0,0.7482,0.0,200,12.0,awgn,0.0,0.5109090909090909,0.4890909090909091,0.0
culver,0.3,SNR-threshold,0.879,0.0,0.872,0.0,0.7768,0.0,200,12.0,awgn,0.0,0.0,1.0,0.0
culver,0.1,CA-TOSG-RF,0.7959,0.0,0.7837,0.0,0.699,0.0,200,14.0,awgn,0.0,0.9836363636363636,0.016363636363636365,0.0
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,14.0,awgn,0.0,1.0,0.0,0.0
culver,0.2,CA-TOSG-RF,0.8026,0.0,0.7904,0.0,0.7021,0.0,200,14.0,awgn,0.0,0.9290909090909091,0.07090909090909091,0.0
culver,0.2,SNR-threshold,0.879,0.0,0.872,0.0,0.7768,0.0,200,14.0,awgn,0.0,0.0,1.0,0.0
culver,0.3,CA-TOSG-RF,0.8575,0.0,0.8475,0.0,0.7512,0.0,200,14.0,awgn,0.0,0.4781818181818182,0.5218181818181818,0.0
culver,0.3,SNR-threshold,0.879,0.0,0.872,0.0,0.7768,0.0,200,14.0,awgn,0.0,0.0,1.0,0.0
culver,0.1,CA-TOSG-RF,0.7959,0.0,0.7837,0.0,0.699,0.0,200,16.0,awgn,0.0,0.9836363636363636,0.016363636363636365,0.0
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,16.0,awgn,0.0,1.0,0.0,0.0
