fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_08_22_13_37_16,31,400,10.0,4,sqrt,,0.1,135,0.971686,0.024
2021_08_22_22_01_17,31,400,10.0,4,sqrt,,0.1,202,0.982656,0.022661
2021_08_23_10_51_24,31,400,10.0,4,sqrt,,0.1,64,0.886513,0.024
2021_08_23_13_17_21,31,400,10.0,4,sqrt,,0.1,48,0.91825,0.024
2021_08_23_19_42_07,31,400,10.0,4,sqrt,,0.1,57,0.800953,0.024
2021_09_09_19_27_35,31,400,10.0,4,sqrt,,0.1,459,0.744719,0.024
2021_09_11_00_33_16,31,400,10.0,4,sqrt,,0.1,746,0.858642,0.024
2021_08_20_21_48_35,32,400,10.0,4,sqrt,,0.2,112,0.854261,0.024
2021_08_21_17_30_41,32,400,10.0,4,sqrt,,0.2,157,0.882277,0.024
2021_08_22_13_37_16,32,400,10.0,4,sqrt,,0.2,135,0.971686,0.024
2021_08_22_22_01_17,32,400,10.0,4,sqrt,,0.2,202,0.98692,0.023881
2021_08_23_10_51_24,32,400,10.0,4,sqrt,,0.2,64,0.886513,0.024
2021_08_23_13_17_21,32,400,10.0,4,sqrt,,0.2,48,0.91825,0.024
2021_08_23_19_42_07,32,400,10.0,4,sqrt,,0.2,57,0.800953,0.024
2021_09_09_19_27_35,32,400,10.0,4,sqrt,,0.2,459,0.744719,0.024
2021_09_11_00_33_16,32,400,10.0,4,sqrt,,0.2,746,0.858642,0.024
2021_08_20_21_48_35,33,400,10.0,4,sqrt,,0.35,112,0.854261,0.024
2021_08_21_17_30_41,33,400,10.0,4,sqrt,,0.35,157,0.882277,0.024
2021_08_22_13_37_16,33,400,10.0,4,sqrt,,0.35,135,0.971686,0.024
